
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 077.icbb.vu.edu.pk                                                          | 172.67.138.93   | CNAME |
| 077.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 08.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 08.uskt.edu.pk                                                              | 206.72.198.158  |   A   |
| 081.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 083.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 087.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 089.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 09-www.pmc.gov.pk                                                           | 43.250.84.119   |   A   |
| 09.68.97.128.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 09.68.97.137.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 09.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 09.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 09.pmc.gov.pk                                                               | 43.250.84.119   |   A   |
| 095.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 09a.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| 09m.agpr.gov.pk                                                             | 210.56.11.83    |   A   |
| 09pmc.gov.pk.pmc.gov.pk                                                     | 43.250.84.119   |   A   |
| 09ww.agpr.gov.pk                                                            | 210.56.11.83    |   A   |
| 0ail.lesco.gov.pk                                                           | 65.254.231.115  |   A   |
| 0bmail.lesco.gov.pk                                                         | 65.254.231.115  |   A   |
| 0d.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 0de.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0f.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 0hycos.pmd.gov.pk                                                           | 203.124.42.75   |   A   |
| 0i69zzcj-euas.icbb.vu.edu.pk                                                | 172.67.138.93   | CNAME |
| 0ly.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0ns.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0s2.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0st.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0v.lesco.gov.pk                                                             | 65.254.231.115  |   A   |
| 0w.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 0z.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 0z.lesco.gov.pk                                                             | 65.254.231.115  |   A   |
| 0zyx.agpr.gov.pk                                                            | 210.56.11.83    |   A   |
| 0zyxw.lesco.gov.pk                                                          | 65.254.231.115  |   A   |
| 0zyxwv.lesco.gov.pk                                                         | 65.254.231.115  |   A   |
| 0zyxwv.pmd.gov.pk                                                           | 203.124.42.75   |   A   |
| 0zyxwvu.lesco.gov.pk                                                        | 65.254.231.115  |   A   |
| 1-111.68.97.128.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 1-www.pmc.gov.pk                                                            | 43.250.84.119   |   A   |
| 1.agpr.gov.pk                                                               | 210.56.11.83    |   A   |
| 1.colgate.com.pk                                                            | 35.213.138.68   |   A   |
| 1.daewoo.com.pk                                                             | 144.76.139.14   |   A   |
| 1.duhs.edu.pk                                                               | 67.222.63.249   |   A   |
| 1.gis.pu.edu.pk                                                             | 111.68.103.27   |   A   |
| 1.gov.pk.pmc.gov.pk                                                         | 43.250.84.119   |   A   |
| 1.hoap.org.pk                                                               | 209.105.243.158 |   A   |
| 1.icbb.vu.edu.pk                                                            | 172.67.138.93   | CNAME |
| 1.kp.gov.pk                                                                 | 175.107.63.150  |   A   |
| 1.mpp.pu.edu.pk                                                             | 111.68.103.27   |   A   |
| 1.pmc.gov.pk                                                                | 43.250.84.119   |   A   |
| 1.pmd.gov.pk                                                                | 203.124.42.75   |   A   |
| 1.pu.edu.pk                                                                 | 111.68.103.27   |   A   |
| 1.shield.com.pk                                                             | 65.254.228.100  |   A   |
| 1.shrd.lpp.org.pk                                                           | 65.21.166.30    |   A   |
| 1.uskt.edu.pk                                                               | 206.72.198.158  |   A   |
| 10-111.68.97.138.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 10-65-42-115.connect.net.pk                                                 | 115.42.65.10    |   A   |
| 10-pmc.gov.pk.pmc.gov.pk                                                    | 43.250.84.119   |   A   |
| 10-www.pmc.gov.pk                                                           | 43.250.84.119   |   A   |
| 10.68.97.137.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 10.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 10.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 10.lesco.gov.pk                                                             | 65.254.231.115  |   A   |
| 10.pmd.gov.pk                                                               | 203.124.42.75   |   A   |
| 10.uskt.edu.pk                                                              | 206.72.198.158  |   A   |
| 100.68.97.128.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 101.68.97.139.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 1015.icbb.vu.edu.pk                                                         | 104.21.26.189   | CNAME |
