cpcontacts.rsheets.spsc.gov.pk 103.18.243.15 
cpcontacts.spsc.gov.pk 103.18.243.15 
ftp.spsc.gov.pk 103.18.243.15 
mail.spsc.gov.pk 103.18.243.15 
rsheets.spsc.gov.pk 103.18.243.15 
spsc.gov.pk 103.18.243.15 
webdisk.spsc.gov.pk 103.18.243.15 
webmail.rsheets.spsc.gov.pk 103.18.243.15 
webmail.spsc.gov.pk 103.18.243.15 
whm.rsheets.spsc.gov.pk 103.18.243.15 
whm.spsc.gov.pk 103.18.243.15 
www.rsheets.spsc.gov.pk 103.18.243.15 
www.spsc.gov.pk 103.18.243.15 
cpanel.isra.edu.pk 103.18.243.24 
cpcalendars.isra.edu.pk 103.18.243.24 
cpcontacts.isra.edu.pk 103.18.243.24 
ftp.isra.edu.pk 103.18.243.24 
webdisk.isra.edu.pk 103.18.243.24 
webmail.isra.edu.pk 103.18.243.24 
whm.isra.edu.pk 103.18.243.24 
masterdns.user.nova.net.pk 103.209.52.250 
ns1.nova.net.pk 103.209.52.250 
user.nova.net.pk 103.209.52.250 
users.nova.net.pk 103.209.52.250 
userv6.nova.net.pk 103.209.52.250 
crm.nova.net.pk 103.209.53.5 
admin.pmrc.com.pk 103.213.115.142 
mail.pmrc.com.pk 103.213.115.142 
webmail.pmrc.com.pk 103.213.115.142 
byco.com.pk 103.213.115.196 
ftp.byco.com.pk 103.213.115.196 
lists.byco.com.pk 103.213.115.196 
www.byco.com.pk 103.213.115.196 
hrms.cyber.net.pk 103.213.115.247 
staging.cyber.net.pk 103.213.115.247 
www.hrms.cyber.net.pk 103.213.115.247 
adminpanel.caapakistan.com.pk 103.213.115.48 
caapakistan.com.pk 103.213.115.48 
live.caapakistan.com.pk 103.213.115.48 
www.caapakistan.com.pk 103.213.115.48 
dua.punjab.gov.pk 103.226.216.103 
adpmis.pshealth.punjab.gov.pk 103.226.216.130 
dashboard.pshealth.punjab.gov.pk 103.226.216.130 
monitoring.pshealth.punjab.gov.pk 103.226.216.130 
pacpdemo.pshealth.punjab.gov.pk 103.226.216.130 
rms.pshealth.punjab.gov.pk 103.226.216.130 
vmwareh.punjab.gov.pk 103.226.216.130 
www.adpmis.pshealth.punjab.gov.pk 103.226.216.130 
www.dashboard.pshealth.punjab.gov.pk 103.226.216.130 
www.monitoring.pshealth.punjab.gov.pk 103.226.216.130 
www.pacpdemo.pshealth.punjab.gov.pk 103.226.216.130 
www.rms.pshealth.punjab.gov.pk 103.226.216.130 
demo.elearn.punjab.gov.pk 103.226.216.134 
dev.elearn.punjab.gov.pk 103.226.216.134 
learn.punjab.gov.pk 103.226.216.134 
oer.punjab.gov.pk 103.226.216.134 
pas.punjab.gov.pk 103.226.216.134 
sandboxlms.punjab.gov.pk 103.226.216.134 
www.business.balochistan.gov.pk 103.226.216.134 
www.learn.punjab.gov.pk 103.226.216.134 
www.oer.punjab.gov.pk 103.226.216.134 
www.pas.punjab.gov.pk 103.226.216.134 
www.sandboxlms.punjab.gov.pk 103.226.216.134 
dataplug.pitb.gov.pk 103.226.216.138 
dataplug.itu.edu.pk 103.226.216.138 
dev.godk.itu.edu.pk 103.226.216.138 
dev.odi.itu.edu.pk 103.226.216.138 
godk.itu.edu.pk 103.226.216.138 
odi.itu.edu.pk 103.226.216.138 
vetinspect.punjab.gov.pk 103.226.216.138 
www.dataplug.itu.edu.pk 103.226.216.138 
www.dataplug.pitb.gov.pk 103.226.216.138 
www.odi.itu.edu.pk 103.226.216.138 
www.vetinspect.punjab.gov.pk 103.226.216.138 
etoll.cwd.punjab.gov.pk 103.226.216.139 
its.itu.edu.pk 103.226.216.140 
lnddrive.pitb.gov.pk 103.226.216.140 
mlearn.punjab.gov.pk 103.226.216.140 
smartevaluation.punjab.gov.pk 103.226.216.140 
www.its.itu.edu.pk 103.226.216.140 
www.smartevaluation.punjab.gov.pk 103.226.216.140 
advisory.punjab.gov.pk 103.226.216.141 
myapp-wasacms.punjab.gov.pk 103.226.216.141 
tracking.punjab.gov.pk 103.226.216.143 
www.tracking.punjab.gov.pk 103.226.216.143 
idap.punjab.gov.pk 103.226.216.144 
nfc.pitb.gov.pk 103.226.216.144 
tdas.punjab.gov.pk 103.226.216.144 
webapps.pitb.gov.pk 103.226.216.144 
www.governor.punjab.gov.pk 103.226.216.144 
www.idap.punjab.gov.pk 103.226.216.144 
www.nfc.pitb.gov.pk 103.226.216.144 
www.tdas.punjab.gov.pk 103.226.216.144 
environmentcms.punjab.gov.pk 103.226.216.145 
dev.pmiu.pitb.gov.pk 103.226.216.146 
gbschoolmonitoring.pitb.gov.pk 103.226.216.146 
pmiu.pitb.gov.pk 103.226.216.146 
pmiu.punjab.gov.pk 103.226.216.146 
spvsurvey.punjab.gov.pk 103.226.216.146 
www.gbschoolmonitoring.pitb.gov.pk 103.226.216.146 
www.pmiu.punjab.gov.pk 103.226.216.146 
www.spvsurvey.punjab.gov.pk 103.226.216.146 
afft.punjab.gov.pk 103.226.216.148 
agritms.punjab.gov.pk 103.226.216.148 
bapps.pitb.gov.pk 103.226.216.148 
bardana.punjab.gov.pk 103.226.216.148 
bbms.punjab.gov.pk 103.226.216.148 
brickkiln.punjab.gov.pk 103.226.216.148 
cct.punjab.gov.pk 103.226.216.148 
ccv.pitb.gov.pk 103.226.216.148 
cfmp.punjab.gov.pk 103.226.216.148 
cims.punjab.gov.pk 103.226.216.148 
citizenprofiling.punjabpolice.gov.pk 103.226.216.148 
clms.punjab.gov.pk 103.226.216.148 
code.punjab.gov.pk 103.226.216.148 
csi.punjab.gov.pk 103.226.216.148 
ctdfir.punjab.gov.pk 103.226.216.148 
ctd.punjabpolice.gov.pk 103.226.216.148 
ddcs.punjab.gov.pk 103.226.216.148 
devschemes.punjab.gov.pk 103.226.216.148 
dte.punjab.gov.pk 103.226.216.148 
estateoffice.punjab.gov.pk 103.226.216.148 
fapp.punjab.gov.pk 103.226.216.148 
farmerdatabase.punjab.gov.pk 103.226.216.148 
floodrelief.pitb.gov.pk 103.226.216.148 
hospitalwatch.punjab.gov.pk 103.226.216.148 
insights.itu.edu.pk 103.226.216.148 
investing.punjab.gov.pk 103.226.216.148 
itemmanager.punjab.gov.pk 103.226.216.148 
itops.pitb.gov.pk 103.226.216.148 
ldasurvey.punjab.gov.pk 103.226.216.148 
md.pitb.gov.pk 103.226.216.148 
measaaf.punjab.gov.pk 103.226.216.148 
mgrs.punjab.gov.pk 103.226.216.148 
monitoring-pfa.punjab.gov.pk 103.226.216.148 
muharram.punjab.gov.pk 103.226.216.148 
nser.pitb.gov.pk 103.226.216.148 
otrs2017.punjab.gov.pk 103.226.216.148 
otrs.pitb.gov.pk 103.226.216.148 
otrs.punjab.gov.pk 103.226.216.148 
pcis.punjab.gov.pk 103.226.216.148 
pef.pitb.gov.pk 103.226.216.148 
petitions.punjab.gov.pk 103.226.216.148 
pg.swd.punjab.gov.pk 103.226.216.148 
pha.punjab.gov.pk 103.226.216.148 
pogcl.punjab.gov.pk 103.226.216.148 
pollingstations.punjab.gov.pk 103.226.216.148 
pssp.punjab.gov.pk 103.226.216.148 
roadart.punjab.gov.pk 103.226.216.148 
rims.punjab.gov.pk 103.226.216.148 
rvs.pitb.gov.pk 103.226.216.148 
